celltype,4T1S,4T1T,EMPT6S,EMPT6T,N_S
Act. Neu,520,0,37,0,4
Ccl3hi_TAN,0,704,0,69,0
Cxcr2hi_TAN,0,256,0,23,0
IFN Neu,298,0,57,0,8
Il1bhi_TAN,0,501,0,52,0
Immature Neu,1218,0,40,0,6
Inflam. Neu,2784,0,284,0,83
Mature Neu,1033,0,129,0,65
Mature_TAN,0,184,0,14,0
Prolif. preNeu (G2M),338,0,2,0,3
Prolif. preNeu (S),437,0,24,0,6
